#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
94.462238	3.514086
94.552480	3.447677
94.644504	3.382640
94.738312	3.316855
94.834074	3.246721
94.931964	3.174801
95.032222	3.095531
95.135194	3.010803
95.241264	2.917635
95.351016	2.814391
95.465156	2.697989
95.584616	2.570819
95.710404	2.433457
95.843782	2.288356
95.986172	2.136411
96.139282	1.979679
96.305270	1.820158
96.486564	1.660075
96.686860	1.495441
96.911684	1.323054
97.170868	1.135387
97.486944	0.911997
97.964478	0.582346
98.781066	0.268565
99.601826	0.530477
100.127798	0.822002
100.479964	1.012626
100.772130	1.165833
101.028662	1.301298
101.260054	1.427724
101.471822	1.548925
101.667546	1.670829
101.849312	1.793945
102.018970	1.917968
102.178024	2.040711
102.327844	2.160804
102.469682	2.275923
102.604694	2.385235
102.733842	2.486185
102.858000	2.579008
102.977956	2.664218
103.094204	2.744708
103.207266	2.815905
103.317562	2.883835
103.425382	2.945151
103.531054	3.004066
103.634632	3.061981
103.736374	3.115670
103.836318	3.171660
103.934514	3.228371
104.030958	3.285360
104.125720	3.346534
104.218722	3.410030
104.309998	3.474368
104.399578	3.540940
104.487452	3.609615
104.573700	3.677474
104.658376	3.744270
104.741616	3.806515
104.823538	3.864673
104.904298	3.917784
104.983960	3.970166
105.062626	4.018204
105.140350	4.067102
105.217182	4.111494
105.293208	4.154776
105.368416	4.198643
105.442908	4.237607
105.516690	4.278700
105.589758	4.320835
105.662100	4.362717
105.733724	4.410491
105.804540	4.461476
105.874550	4.513653
105.943746	4.567463
106.012106	4.623253
106.079676	4.677634
106.146484	4.728608
106.212670	4.768804
106.278394	4.794714
