#Creator: wheelEventBuffer
#Creation time: Tue Mar 28 17:09:24 2017
#Time	Angular velocity
#[s]	[rad/s]
46.522650	5.071338
46.585198	4.972448
46.649034	4.874465
46.714152	4.776780
46.780658	4.673181
46.848686	4.567331
46.918346	4.456413
46.989800	4.341375
47.063210	4.220869
47.138824	4.095415
47.216832	3.963955
47.297604	3.823191
47.381466	3.675753
47.468890	3.519755
47.560452	3.354825
47.656750	3.180007
47.758650	2.998962
47.867164	2.806497
47.983610	2.606309
48.109822	2.393412
48.248412	2.166705
48.403558	1.919280
48.582840	1.639286
48.803626	1.301341
49.160542	0.777872
49.658774	0.471355
50.159088	0.718200
50.546630	1.187146
50.789392	1.482709
50.988008	1.726643
51.160704	1.941820
51.315456	2.140837
51.456532	2.330870
51.586642	2.512832
51.707696	2.692025
51.821024	2.863908
51.927736	3.033479
52.028796	3.195728
52.124888	3.352248
52.216686	3.499524
52.304796	3.640063
52.389606	3.773594
52.471570	3.899403
52.550954	4.019746
52.628070	4.132804
52.703154	4.240353
52.776446	4.337180
52.848146	4.428771
52.918448	4.512356
52.987450	4.594449
53.055234	4.676381
53.121838	4.758547
53.187278	4.843801
53.251566	4.929380
53.314728	5.021246
53.376742	5.111772
53.437642	5.205104
53.497498	5.295831
53.556316	5.388667
53.614134	5.478503
53.671034	5.567830
53.727030	5.653397
53.782210	5.736183
53.836590	5.819057
53.890234	5.895719
53.943184	5.972155
53.995502	6.040595
54.047228	6.107058
54.098430	6.166999
54.149128	6.226401
54.199346	6.285951
54.249094	6.344345
54.298374	6.406184
54.347172	6.467642
54.395502	6.536270
54.443320	6.602481
54.490638	6.674299
54.537490	6.741037
54.583852	6.811189
54.629738	6.881007
54.675180	6.948889
54.720166	7.016556
54.764740	7.082359
54.808890	7.148431
54.852648	7.212104
54.896024	7.274563
54.939046	7.331947
54.981730	7.388158
55.024122	7.436778
55.066228	7.485329
55.108060	7.534157
55.149630	7.581795
55.190930	7.631523
55.231958	7.680404
55.272720	7.737151
55.313184	7.790103
55.353356	7.847703
55.393264	7.900993
55.432872	7.961058
55.472188	8.019586
55.511226	8.077735
55.549976	8.135048
55.588464	8.192325
55.626674	8.250847
55.664628	8.305379
55.702326	8.361526
55.739790	8.412126
55.777022	8.463798
55.814052	8.506424
55.850894	8.548086
55.887554	8.590628
55.924036	8.632646
55.960338	8.675557
55.996460	8.716477
56.032404	8.766583
56.068146	8.812322
56.103686	8.863539
56.139050	8.909287
56.174206	8.960618
56.209162	9.012544
56.243928	9.063507
56.278486	9.114520
56.312864	9.166110
56.347036	9.218829
56.381022	9.269422
56.414824	9.320021
56.448450	9.366146
56.481908	9.413294
56.515220	9.451810
56.548390	9.490643
56.581424	9.528062
56.614336	9.564613
56.647114	9.603793
56.679758	9.640336
56.712278	9.685512
56.744646	9.725089
56.776870	9.769849
56.808966	9.810732
56.840910	9.857523
56.872700	9.904763
56.904350	9.951196
56.935842	9.996795
56.967200	10.042813
56.998402	10.092498
57.029460	10.139403
57.060372	10.186747
57.091150	10.229869
57.121792	10.274029
57.152324	10.309092
57.182744	10.345076
57.213060	10.379254
57.243284	10.411588
57.273406	10.446903
57.303426	10.479661
57.333352	10.520369
57.363160	10.557136
57.392854	10.599165
57.422454	10.633606
57.451934	10.677699
57.481296	10.719232
57.510562	10.755932
57.539728	10.784733
57.568850	10.798820
57.597940	10.801047
57.627060	10.781772
57.656236	10.755196
57.685506	10.714114
57.714888	10.670446
57.744412	10.615641
57.774080	10.562105
57.803902	10.506296
57.833888	10.448988
57.864032	10.394364
57.894336	10.336907
57.924802	10.290182
57.955408	10.238537
57.986158	10.190712
58.017076	10.136786
58.048138	10.089904
58.079340	10.044739
58.110692	9.999340
58.142178	9.952457
58.173824	9.906012
58.205604	9.862475
58.237538	9.813797
58.269622	9.770457
58.301860	9.720876
58.334262	9.670605
58.366856	9.610844
58.399644	9.551236
58.432640	9.490643
58.465848	9.431380
58.499262	9.372852
58.532886	9.311182
58.566732	9.257404
58.600770	9.199932
58.635008	9.147961
58.669468	9.091309
58.704120	9.039514
58.738968	8.988820
58.774024	8.937166
58.809270	8.886605
58.844732	8.834625
58.880392	8.784232
58.916268	8.730041
58.952360	8.678912
58.988684	8.621275
59.025248	8.562998
59.062086	8.496302
59.099208	8.429280
59.136628	8.361971
59.174354	8.293977
59.212390	8.226218
59.250734	8.157015
59.289398	8.096888
59.328352	8.033120
59.367594	7.974800
59.407158	7.910940
59.447016	7.852411
59.487168	7.794355
59.527634	7.735627
59.568398	7.676276
59.609492	7.615982
59.650900	7.556992
59.692650	7.494257
59.734750	7.431149
59.777234	7.360808
59.820118	7.291108
59.863448	7.213429
59.907242	7.134146
59.951528	7.054052
59.996322	6.973878
60.041630	6.895204
60.087454	6.814735
60.133812	6.741615
60.180674	6.666368
60.228044	6.595551
60.275964	6.520262
60.324404	6.450644
60.373368	6.380941
60.422896	6.308672
60.472982	6.235051
60.523684	6.160227
60.575004	6.083642
60.627000	6.002279
60.679712	5.919938
60.733206	5.828990
60.787546	5.735764
60.842820	5.635144
60.899094	5.532726
60.956420	5.428894
61.014872	5.323470
61.074482	5.218766
61.135290	5.114268
61.197334	5.016115
61.260606	4.915497
61.325150	4.819281
61.391056	4.718948
61.458342	4.620941
61.527084	4.520537
61.597412	4.418431
61.669390	4.312649
61.743240	4.201338
61.819110	4.084128
61.897288	3.959059
61.978068	3.825892
62.061886	3.679886
62.149230	3.522755
62.240760	3.353465
62.337174	3.175186
62.439344	2.987952
62.548380	2.790592
62.665652	2.585035
62.793016	2.368904
62.933118	2.142852
63.089910	1.898565
63.270500	1.629102
63.490922	1.308103
63.820688	0.843123
64.391350	0.380201
64.963706	0.807686
65.308456	1.246229
65.540376	1.542870
65.731596	1.786498
65.898666	2.004078
66.048852	2.202648
66.186138	2.391481
66.313156	2.569768
66.431740	2.741785
66.543188	2.907106
66.648524	3.067123
66.748568	3.222940
66.843966	3.371314
66.935348	3.512907
67.023214	3.644708
67.108036	3.769157
67.190160	3.885994
67.269930	3.996734
67.347544	4.101082
67.423272	4.200776
67.497220	4.297782
67.569558	4.390397
67.640408	4.482994
67.709816	4.569855
67.777916	4.658076
67.844780	4.742170
