#Creator: pendulumviewEventBuffer
#Creation time: Tue Feb 21 15:21:51 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
43.772	475	43.797	512
43.823	489	43.849	512
43.873	500	43.899	512
43.924	508	43.950	512
43.975	514	44.000	512
44.026	515	44.051	512
44.076	512	44.102	512
44.127	507	44.153	511
44.177	498	44.203	512
44.229	486	44.254	512
44.279	472	44.304	512
44.330	456	44.356	512
44.380	440	44.406	510
44.431	424	44.457	512
44.482	410	44.507	511
44.533	396	44.558	511
44.583	385	44.608	511
44.634	377	44.660	511
44.684	372	44.710	511
44.735	371	44.761	511
44.786	375	44.811	511
44.837	380	44.862	512
44.887	388	44.913	512
44.938	402	44.964	512
44.988	414	45.014	511
45.040	429	45.065	512
45.090	446	45.115	512
45.141	462	45.167	511
45.191	475	45.217	512
45.242	489	45.268	511
45.293	499	45.318	511
45.344	507	45.369	511
45.394	512	45.419	512
45.445	512	45.471	511
45.495	510	45.521	511
45.546	505	45.572	512
45.597	495	45.622	511
45.648	483	45.673	512
45.699	470	45.724	512
45.749	453	45.775	510
45.800	439	45.825	512
45.851	423	45.876	512
45.902	408	45.926	511
45.952	396	45.978	511
46.003	386	46.028	511
46.053	378	46.079	512
46.105	374	46.129	511
46.155	373	46.180	512
46.206	376	46.230	511
46.256	383	46.282	512
46.307	391	46.332	512
46.357	403	46.383	512
46.409	417	46.433	512
46.459	431	46.484	512
46.510	448	46.535	511
46.560	462	46.586	512
46.611	477	46.636	511
46.662	490	46.687	511
46.713	499	46.737	511
46.763	506	46.789	512
46.814	510	46.839	511
46.864	511	46.890	511
46.916	507	46.940	512
46.966	502	46.991	512
47.017	493	47.042	512
47.067	481	47.093	513
47.118	468	47.143	511
47.168	452	47.194	511
47.220	436	47.244	512
47.270	421	47.295	513
47.321	407	47.346	512
47.371	396	47.397	510
47.422	386	47.447	511
47.473	378	47.498	511
47.524	375	47.548	512
47.574	375	47.600	511
47.625	378	47.650	511
47.675	385	47.701	512
47.727	395	47.751	511
47.777	406	47.802	512
47.828	418	47.853	512
47.878	433	47.904	511
47.929	450	47.954	511
47.979	464	48.005	511
48.031	478	48.055	512
48.081	489	48.106	512
48.132	499	48.157	511
48.182	506	48.208	511
48.233	509	48.258	512
48.284	509	48.309	511
48.335	505	48.359	512
48.385	499	48.411	511
48.436	489	48.461	511
48.486	477	48.512	512
48.538	464	48.562	512
48.588	450	48.613	512
48.639	434	48.664	512
48.689	419	48.715	512
48.740	407	48.766	512
48.790	395	48.816	512
48.842	386	48.867	511
48.892	380	48.917	511
48.943	377	48.969	511
48.993	377	49.019	511
49.044	381	49.070	511
49.095	387	49.120	512
49.146	397	49.171	512
49.196	408	49.222	511
49.247	422	49.273	511
49.297	436	49.323	510
49.349	451	49.374	510
49.399	466	49.424	511
49.450	479	49.476	512
49.500	490	49.526	511
49.551	499	49.577	511
49.602	504	49.627	512
49.653	507	49.678	512
49.703	507	49.728	511
49.754	503	49.780	512
49.804	496	49.830	512
49.855	486	49.881	512
49.906	475	49.931	512
49.957	462	49.982	511
50.007	448	50.033	512
50.058	432	50.084	511
50.108	419	50.134	512
50.160	406	50.185	511
50.210	396	50.235	512
50.261	386	50.287	511
50.311	381	50.337	511
50.362	378	50.388	511
50.413	379	50.438	512
50.464	383	50.489	511
50.514	390	50.539	511
50.565	400	50.591	511
50.615	410	50.641	512
50.666	424	50.692	512
50.717	438	50.742	512
50.768	452	50.793	511
50.818	466	50.844	511
50.869	479	50.895	512
50.919	489	50.945	512
50.971	497	50.996	512
51.021	504	51.046	512
51.072	506	51.098	512
51.122	505	51.148	512
51.173	501	51.199	512
51.224	494	51.249	511
51.275	484	51.300	511
51.325	472	51.350	511
51.376	459	51.402	511
51.426	447	51.452	512
51.477	431	51.503	512
51.528	418	51.553	512
51.579	406	51.604	511
51.629	396	51.655	511
51.680	387	51.706	510
51.730	382	51.756	510
51.782	380	51.807	510
51.832	381	51.857	511
51.883	385	51.909	512
51.933	392	51.959	512
51.984	401	52.010	512
52.035	414	52.060	511
52.086	427	52.111	512
52.136	440	52.162	512
52.187	455	52.213	512
52.237	468	52.263	513
52.288	479	52.314	512
52.339	490	52.364	512
52.390	498	52.415	512
52.441	502	52.466	512
52.491	504	52.517	510
52.542	503	52.567	511
52.593	498	52.618	512
52.644	492	52.668	511
52.694	481	52.720	512
52.745	469	52.770	511
52.795	457	52.821	512
52.847	443	52.871	512
52.897	429	52.922	511
52.948	416	52.973	512
52.998	406	53.024	512
53.049	396	53.074	511
53.099	389	53.125	511
53.151	384	53.175	511
53.201	382	53.226	511
53.252	384	53.277	511
53.302	387	53.328	512
53.353	396	53.378	511
53.404	405	53.429	511
53.455	417	53.479	511
53.505	428	53.531	512
53.556	442	53.581	511
53.606	456	53.632	511
53.658	468	53.682	511
53.708	479	53.733	511
53.759	489	53.784	513
53.809	496	53.835	512
53.860	501	53.885	512
53.910	503	53.936	511
53.962	500	53.986	512
54.012	496	54.037	512
54.063	488	54.088	512
54.113	478	54.139	511
54.164	467	54.189	511
54.215	455	54.240	511
54.266	442	54.290	511
54.316	429	54.342	511
54.367	416	54.392	510
54.417	404	54.443	511
54.469	396	54.493	512
54.519	388	54.544	511
54.570	384	54.595	511
54.620	383	54.646	511
54.671	385	54.696	511
54.722	390	54.747	511
54.773	398	54.797	512
54.823	406	54.848	510
54.874	417	54.899	511
54.924	431	54.950	512
54.975	444	55.000	511
55.026	457	55.051	510
55.077	470	55.101	511
55.127	479	55.153	510
55.178	489	55.203	511
55.228	496	55.254	511
55.280	499	55.304	511
55.330	499	55.355	510
55.381	498	55.406	512
55.431	493	55.457	510
55.482	485	55.508	512
55.533	475	55.558	511
55.584	464	55.609	511
55.634	451	55.659	512
55.685	438	55.711	512
55.735	425	55.761	512
55.786	414	55.812	511
55.837	404	55.862	511
55.888	396	55.913	511
55.938	390	55.964	512
55.989	386	56.015	510
56.039	385	56.065	511
56.091	389	56.116	512
56.141	394	56.166	511
56.192	401	56.218	511
56.242	411	56.268	512
56.293	421	56.319	510
56.344	433	56.369	510
56.395	445	56.420	511
56.445	458	56.470	510
56.496	468	56.522	511
56.546	480	56.572	511
56.597	488	56.623	511
56.648	494	56.673	511
56.699	497	56.724	512
56.749	497	56.775	510
56.800	495	56.826	511
56.850	490	56.876	511
56.902	482	56.927	511
56.952	473	56.977	512
57.003	461	57.029	511
57.053	449	57.079	511
57.104	437	57.130	512
57.155	425	57.180	511
57.206	414	57.231	511
57.256	404	57.282	512
57.307	395	57.333	511
57.357	390	57.383	511
57.408	387	57.434	512
57.459	387	57.484	511
