#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
49.551	351	49.576	442
49.602	328	49.627	425
49.652	299	49.677	408
49.703	281	49.729	394
49.753	270	49.779	393
49.804	259	49.830	401
49.855	274	49.880	397
49.906	278	49.931	424
49.956	300	49.982	440
50.007	326	50.033	465
50.057	362	50.083	486
50.109	396	50.134	525
50.159	427	50.184	552
50.210	459	50.236	581
50.260	500	50.286	605
50.311	532	50.337	626
50.362	552	50.387	640
50.413	568	50.438	657
50.463	583	50.489	649
50.514	590	50.540	651
50.564	574	50.590	640
50.615	564	50.641	633
50.666	551	50.691	610
50.717	520	50.742	587
50.768	493	50.793	558
50.818	446	50.844	534
50.869	420	50.894	509
50.920	385	50.945	480
50.971	349	50.995	448
51.021	325	51.047	430
51.072	292	51.097	412
51.122	278	51.148	405
51.174	268	51.198	389
51.224	271	51.249	400
51.275	277	51.300	410
51.325	288	51.351	418
51.376	300	51.401	437
51.426	338	51.452	463
51.478	364	51.502	489
51.528	397	51.553	521
51.579	429	51.604	550
51.629	469	51.655	574
51.680	503	51.705	594
51.731	536	51.756	624
51.782	549	51.806	638
51.832	569	51.858	643
51.883	578	51.908	651
51.933	583	51.959	644
51.985	569	52.009	634
52.035	567	52.060	634
52.086	545	52.111	614
52.136	510	52.162	590
52.187	483	52.212	562
52.237	453	52.263	533
52.289	416	52.313	507
52.339	379	52.364	481
52.390	344	52.415	455
52.440	316	52.466	426
52.491	293	52.516	423
52.542	276	52.567	405
52.593	270	52.617	403
52.643	266	52.669	408
52.694	282	52.719	410
52.744	286	52.770	419
52.796	318	52.820	445
52.846	344	52.871	463
52.897	375	52.922	493
52.947	408	52.973	516
52.998	440	53.023	545
53.049	475	53.074	575
53.100	505	53.124	598
53.150	529	53.175	619
53.201	556	53.226	635
53.251	572	53.277	643
53.302	574	53.327	656
53.353	575	53.378	652
53.404	565	53.428	639
53.454	560	53.480	625
53.505	534	53.530	612
53.555	503	53.581	587
53.607	481	53.631	560
53.657	442	53.682	527
53.708	413	53.733	506
53.758	375	53.784	482
53.809	342	53.835	455
53.860	309	53.885	431
53.911	294	53.936	422
53.961	284	53.986	403
54.012	275	54.038	403
54.062	275	54.088	404
54.113	284	54.139	416
54.164	302	54.189	424
54.215	327	54.240	443
54.265	348	54.291	464
54.316	383	54.342	492
54.366	414	54.392	516
54.418	444	54.443	541
54.468	473	54.493	570
54.519	506	54.545	594
54.569	529	54.595	621
54.620	560	54.646	635
54.671	561	54.696	639
54.722	575	54.747	646
54.772	574	54.797	648
54.823	561	54.849	640
54.873	543	54.899	616
54.924	520	54.950	599
54.975	502	55.000	585
55.026	462	55.051	562
55.076	429	55.102	531
55.127	402	55.153	506
55.177	365	55.203	475
55.229	337	55.254	460
55.279	315	55.304	437
55.330	288	55.356	415
55.380	286	55.406	403
55.431	276	55.457	408
55.482	283	55.507	405
55.533	290	55.558	422
55.583	307	55.609	429
55.634	330	55.660	442
55.684	351	55.710	458
55.735	386	55.761	494
55.786	422	55.811	519
55.837	450	55.862	545
55.887	486	55.913	571
55.938	499	55.964	595
55.988	533	56.014	620
56.040	552	56.065	631
56.090	568	56.115	636
56.141	564	56.167	642
56.191	561	56.217	644
56.242	558	56.268	636
56.293	538	56.318	629
56.344	520	56.369	608
56.394	491	56.420	585
56.445	455	56.471	561
56.495	428	56.521	535
56.546	403	56.572	502
56.597	366	56.622	481
56.648	345	56.673	453
56.698	310	56.724	439
56.749	298	56.775	420
56.799	289	56.825	404
56.851	286	56.876	400
56.901	284	56.926	398
56.952	295	56.978	410
57.002	310	57.028	428
57.053	337	57.079	438
57.104	368	57.129	465
57.155	399	57.180	480
57.205	430	57.231	516
57.256	455	57.282	538
57.306	489	57.332	568
57.357	516	57.383	590
57.408	538	57.433	616
57.459	545	57.484	636
