#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
32.974	298	32.999	717
33.025	269	33.050	754
33.075	238	33.101	774
33.126	217	33.152	803
33.176	209	33.202	801
33.228	204	33.253	793
33.278	218	33.303	790
33.329	233	33.355	759
33.379	264	33.405	737
33.430	287	33.456	700
33.481	320	33.506	648
33.532	361	33.557	606
33.582	396	33.607	555
33.633	435	33.659	515
33.683	474	33.709	481
33.734	499	33.760	446
33.785	526	33.810	416
33.836	540	33.861	402
33.886	542	33.912	401
33.937	543	33.963	401
33.987	537	34.013	426
34.039	516	34.064	453
34.089	492	34.114	491
34.140	456	34.166	526
34.190	420	34.216	576
34.241	385	34.267	618
34.292	337	34.317	667
34.343	310	34.368	711
34.393	277	34.419	741
34.444	241	34.470	772
34.494	229	34.520	785
34.545	213	34.571	797
34.596	217	34.621	792
34.647	222	34.672	787
34.697	238	34.723	768
34.748	256	34.774	739
34.798	279	34.824	701
34.850	319	34.875	657
34.900	356	34.925	612
34.951	395	34.977	563
35.001	439	35.027	523
35.052	463	35.078	478
35.103	504	35.128	449
35.154	524	35.179	430
35.204	544	35.230	402
35.255	541	35.281	403
35.305	540	35.331	412
35.356	536	35.382	426
35.407	515	35.432	445
35.458	487	35.483	482
35.508	458	35.534	526
35.559	425	35.585	566
35.609	391	35.635	606
35.661	345	35.686	654
35.711	305	35.736	701
35.762	275	35.788	736
35.812	251	35.838	757
35.863	225	35.889	783
35.914	222	35.939	784
35.965	217	35.990	794
36.015	222	36.041	783
36.066	238	36.092	768
36.116	254	36.142	736
36.167	281	36.193	696
36.218	318	36.243	656
36.269	352	36.294	619
36.319	387	36.345	573
36.370	431	36.396	526
36.420	466	36.446	484
36.472	492	36.497	461
36.522	526	36.547	431
36.573	543	36.599	415
36.623	548	36.649	416
36.674	541	36.700	407
36.725	534	36.750	425
36.776	514	36.801	438
36.826	497	36.852	483
36.877	455	36.903	518
36.927	420	36.953	560
36.979	388	37.004	600
37.029	353	37.054	653
37.080	306	37.105	693
37.130	279	37.156	718
37.181	255	37.207	758
37.231	236	37.257	777
37.283	220	37.308	787
37.333	218	37.358	794
37.384	221	37.410	779
37.434	231	37.460	766
37.485	261	37.511	730
37.536	278	37.561	703
37.587	318	37.612	660
37.637	347	37.663	626
37.688	392	37.714	583
37.738	431	37.764	533
37.790	466	37.815	499
37.840	494	37.865	465
37.891	526	37.916	436
37.941	539	37.967	425
37.992	547	38.018	419
38.042	549	38.068	418
38.094	538	38.119	424
38.144	519	38.169	448
38.195	493	38.221	478
38.245	467	38.271	517
38.296	431	38.322	550
38.347	387	38.372	603
38.398	351	38.423	637
38.448	315	38.474	683
38.499	280	38.525	720
38.549	256	38.575	747
38.601	235	38.626	772
38.651	227	38.676	779
38.702	221	38.727	787
38.752	218	38.778	777
38.803	231	38.829	763
38.853	256	38.879	735
38.905	284	38.930	706
38.955	313	38.980	674
39.006	352	39.032	628
39.056	384	39.082	589
39.107	420	39.133	550
39.158	462	39.183	503
39.209	483	39.234	470
39.259	510	39.285	447
39.310	532	39.336	423
39.360	550	39.386	422
39.412	540	39.437	421
39.462	536	39.487	432
39.513	516	39.539	447
39.563	493	39.589	476
39.614	466	39.640	510
39.664	427	39.690	551
39.716	398	39.741	593
39.766	360	39.791	629
39.817	316	39.843	671
39.867	286	39.893	708
39.918	254	39.944	735
39.969	244	39.994	768
40.020	229	40.045	779
40.070	224	40.096	776
40.121	226	40.147	768
40.171	238	40.197	758
40.223	260	40.248	737
40.273	278	40.298	701
40.324	314	40.350	676
40.374	343	40.400	633
40.425	382	40.451	584
40.475	417	40.501	545
40.527	461	40.552	514
40.577	491	40.602	483
40.628	511	40.654	455
40.678	544	40.704	434
40.729	540	40.755	427
40.780	541	40.805	429
40.831	534	40.856	426
40.881	522	40.907	454
40.932	491	40.958	475
40.982	469	41.008	506
41.034	437	41.059	539
41.084	401	41.109	587
41.135	362	41.161	626
41.185	328	41.211	665
41.236	291	41.262	697
41.286	269	41.312	732
41.338	240	41.363	751
41.388	231	41.413	772
41.439	219	41.465	772
41.489	225	41.515	773
41.540	227	41.566	754
41.592	261	41.616	736
41.642	274	41.667	708
41.693	316	41.718	677
41.743	348	41.769	636
41.794	389	41.819	595
41.845	417	41.870	555
41.896	454	41.920	523
41.946	485	41.972	490
41.997	505	42.022	458
42.047	527	42.073	441
42.099	536	42.123	431
42.149	541	42.174	424
42.200	537	42.224	438
42.250	519	42.276	456
42.301	494	42.326	474
42.351	475	42.377	500
42.403	436	42.427	543
42.453	394	42.478	579
42.504	362	42.529	622
42.554	328	42.580	660
42.605	287	42.630	689
42.656	272	42.681	729
42.707	245	42.731	746
42.757	229	42.783	764
42.808	227	42.833	767
42.858	234	42.884	763
42.910	231	42.934	755
42.960	253	42.985	730
43.011	279	43.035	711
43.061	305	43.087	674
43.112	348	43.137	639
43.162	376	43.188	597
43.214	413	43.238	563
43.264	452	43.289	525
43.315	479	43.340	491
43.365	513	43.391	458
43.416	523	43.441	439
43.467	529	43.492	429
43.518	538	43.542	428
43.568	535	43.594	443
43.619	525	43.644	458
43.669	499	43.695	478
43.721	477	43.745	502
