#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
26.790	441	26.815	589
26.841	446	26.866	549
26.892	450	26.916	506
26.942	450	26.968	460
26.993	450	27.018	415
27.043	448	27.069	371
27.095	442	27.119	334
27.145	434	27.170	303
27.196	425	27.221	280
27.246	414	27.272	267
27.297	402	27.322	266
27.347	391	27.373	272
27.399	380	27.423	293
27.449	370	27.474	319
27.500	362	27.525	355
27.550	355	27.576	395
27.601	352	27.626	439
27.652	350	27.677	484
27.703	352	27.727	527
27.753	357	27.779	568
27.804	364	27.829	603
27.854	373	27.880	632
27.906	385	27.930	650
27.956	398	27.981	659
28.007	411	28.032	657
28.057	424	28.083	648
28.108	436	28.134	627
28.158	447	28.184	601
28.210	456	28.235	565
28.260	463	28.285	526
28.311	465	28.337	482
28.361	466	28.387	439
28.412	463	28.438	396
28.463	458	28.488	357
28.514	448	28.539	325
28.564	438	28.590	297
28.615	425	28.641	282
28.665	410	28.691	275
28.717	395	28.742	278
28.767	381	28.792	289
28.818	367	28.844	313
28.868	356	28.894	341
28.919	346	28.945	378
28.970	339	28.995	417
29.021	337	29.046	461
29.071	338	29.096	504
29.122	342	29.148	543
29.172	348	29.198	580
29.223	359	29.249	610
29.274	371	29.299	633
29.325	387	29.350	645
29.375	403	29.401	649
29.426	419	29.452	644
29.476	435	29.502	632
29.528	450	29.553	607
29.578	462	29.603	580
29.629	472	29.655	543
29.679	479	29.705	504
29.730	480	29.756	461
29.781	479	29.806	422
29.832	474	29.857	382
29.882	465	29.907	348
29.933	452	29.959	318
29.983	438	30.009	298
30.034	421	30.060	289
30.085	404	30.110	285
30.136	386	30.161	292
30.186	369	30.212	309
30.237	353	30.263	334
30.287	340	30.313	364
30.339	330	30.364	401
30.389	325	30.414	439
30.440	324	30.466	481
30.490	325	30.516	520
30.541	333	30.567	557
30.592	343	30.617	588
30.643	357	30.668	613
30.693	374	30.718	630
30.744	392	30.770	638
30.794	411	30.820	639
30.845	431	30.871	629
30.896	448	30.921	612
30.947	465	30.972	588
30.997	478	31.023	558
31.048	487	31.074	521
31.098	493	31.124	484
31.150	493	31.175	443
31.200	489	31.225	406
31.251	480	31.277	371
31.301	469	31.327	342
31.352	452	31.378	318
31.403	434	31.428	304
31.454	414	31.479	297
31.504	393	31.530	298
31.555	372	31.581	311
31.605	354	31.631	331
31.656	338	31.682	356
31.707	325	31.732	387
31.758	316	31.783	423
31.809	311	31.834	460
31.859	313	31.885	498
31.910	318	31.935	532
31.961	327	31.986	565
32.012	342	32.036	592
32.062	359	32.088	612
32.113	379	32.138	623
32.163	401	32.189	628
32.215	422	32.239	625
32.265	444	32.290	611
32.316	463	32.341	593
32.366	481	32.392	566
32.417	493	32.442	536
32.467	502	32.493	501
32.519	505	32.543	466
32.569	503	32.594	428
