#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
32.924	451	32.949	564
32.975	421	33.001	563
33.025	390	33.051	560
33.076	359	33.102	551
33.127	330	33.152	538
33.178	306	33.203	520
33.228	288	33.253	499
33.279	274	33.305	476
33.329	268	33.355	453
33.380	268	33.406	430
33.431	276	33.456	407
33.482	289	33.507	389
33.532	309	33.558	374
33.583	333	33.609	364
33.633	361	33.659	357
33.685	391	33.710	358
33.735	421	33.760	362
33.786	450	33.812	374
33.836	476	33.862	390
33.887	498	33.913	410
33.938	515	33.963	432
33.989	526	34.014	457
34.039	531	34.064	482
34.090	529	34.116	506
34.140	520	34.166	529
34.191	505	34.217	545
34.242	485	34.267	562
34.293	461	34.318	571
34.344	434	34.369	576
34.394	405	34.420	574
34.445	377	34.470	567
34.496	350	34.521	553
34.547	326	34.571	536
34.597	306	34.623	514
34.648	292	34.673	491
34.698	283	34.724	466
34.750	281	34.774	439
34.800	285	34.825	414
34.851	293	34.875	391
34.901	307	34.927	374
34.952	329	34.977	357
35.002	352	35.028	350
35.054	378	35.078	346
35.104	404	35.129	350
35.155	431	35.180	358
35.205	457	35.231	374
35.256	478	35.281	393
35.307	498	35.332	417
35.358	509	35.382	442
35.408	518	35.434	470
35.459	518	35.484	496
35.509	513	35.535	521
35.561	502	35.585	544
35.611	487	35.636	562
35.662	466	35.687	576
35.712	444	35.738	583
35.763	419	35.788	585
35.813	393	35.839	579
35.865	368	35.889	571
35.915	345	35.940	552
35.966	325	35.991	533
36.016	310	36.042	506
36.067	300	36.092	480
36.118	294	36.143	452
36.169	294	36.193	424
36.219	300	36.245	399
36.270	311	36.295	375
36.320	326	36.346	358
36.372	346	36.396	345
36.422	368	36.447	339
36.473	392	36.498	339
36.523	416	36.549	345
36.574	438	36.599	357
36.624	460	36.650	377
36.676	477	36.700	399
36.726	491	36.751	427
36.777	501	36.802	454
36.827	504	36.853	484
36.878	502	36.903	512
