#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
51.273	282	51.299	431
51.325	291	51.350	453
51.375	322	51.400	469
51.426	346	51.452	498
51.476	377	51.502	531
51.527	412	51.553	555
51.578	446	51.603	571
51.629	482	51.654	596
51.679	515	51.704	619
51.730	532	51.756	637
51.780	562	51.806	636
51.831	569	51.857	645
51.882	572	51.907	643
51.933	581	51.958	631
51.983	576	52.009	621
52.034	555	52.060	600
52.084	530	52.110	573
52.136	508	52.161	559
52.186	473	52.211	533
52.237	440	52.263	503
52.287	402	52.313	478
52.338	367	52.364	458
52.389	333	52.414	437
52.440	304	52.465	423
52.490	294	52.515	409
52.541	282	52.567	411
52.591	276	52.617	415
52.642	272	52.668	421
52.693	278	52.718	435
52.744	293	52.769	457
52.794	324	52.820	476
52.845	357	52.871	499
52.895	381	52.921	520
52.947	417	52.972	553
52.997	456	53.022	573
53.048	489	53.074	601
53.098	520	53.124	609
53.149	544	53.175	629
53.200	559	53.225	628
53.251	579	53.276	644
53.301	582	53.326	640
53.352	573	53.378	628
53.402	557	53.428	618
53.453	543	53.479	596
53.504	530	53.529	574
53.555	488	53.580	556
53.605	466	53.631	526
53.656	431	53.682	501
53.706	395	53.732	481
53.758	360	53.783	452
53.808	330	53.833	442
53.859	303	53.885	425
53.909	289	53.935	428
53.960	276	53.986	419
54.011	272	54.036	420
54.062	279	54.087	426
54.112	288	54.138	437
54.163	314	54.189	456
54.213	330	54.239	472
54.264	360	54.290	495
54.315	386	54.340	520
54.366	422	54.391	547
54.417	460	54.442	569
54.467	490	54.493	598
54.518	522	54.543	604
54.569	542	54.594	621
54.620	556	54.644	633
54.670	571	54.696	638
54.721	574	54.746	630
54.771	575	54.797	630
54.823	559	54.847	616
54.873	539	54.898	599
54.924	515	54.949	573
54.974	486	55.000	550
55.025	454	55.050	532
55.075	421	55.101	512
55.127	389	55.151	487
55.177	356	55.202	462
55.228	327	55.253	453
55.278	306	55.304	427
55.329	285	55.354	423
55.380	280	55.405	420
55.431	274	55.455	415
55.481	279	55.507	428
55.532	293	55.557	443
55.582	314	55.608	454
55.634	344	55.658	476
55.684	375	55.709	503
55.735	401	55.760	526
55.785	440	55.811	543
55.836	473	55.861	573
55.886	499	55.912	591
55.938	528	55.962	601
55.988	544	56.013	621
56.039	562	56.064	624
56.089	571	56.115	634
56.140	566	56.165	636
56.191	570	56.216	623
56.242	552	56.266	611
56.292	533	56.318	599
56.343	498	56.368	580
56.393	481	56.419	562
56.445	439	56.469	538
56.495	406	56.520	516
56.546	377	56.571	489
56.596	353	56.622	458
56.647	325	56.672	449
56.698	302	56.723	438
56.749	288	56.773	424
56.799	281	56.824	420
56.850	281	56.875	415
56.900	284	56.926	424
56.951	295	56.976	437
57.002	326	57.027	456
57.053	345	57.077	477
57.103	372	57.129	497
57.154	406	57.179	514
57.204	442	57.230	546
57.256	472	57.280	566
57.306	503	57.331	588
57.357	527	57.382	605
57.407	549	57.433	613
57.458	559	57.484	638
